kode_gejala,gejala,kode_pertanyaan,cf_rule
G.1,perubahan warna jengger,P001,0.75
G.1,perubahan warna jengger,P002,0.7
G.2,mata menutup,P003,0.9
G.3,pembengkakan pada jengger,P004,0.8
G.4,menggeleng-gelengkan kepala,P005,0.9
G.5,cairan mata dan gangguan pernafasan,P006,0.9
G.6,cairan di rongga mulut,P007,0.8
G.7,jengger dan kepala kebiruan,P008,0.75
G.8,kornea mata keruh,P009,0.8
G.9,lendir dari hidung,P010,0.9
G.10,pupil ireguler dan diare,P011,0.75
G.11,luka putih berdarah di mulut,P012,0.9
G.12,mulut berlendir,P013,0.9
G.13,sesak nafas dan lendir berdarah,P014,0.8
G.14,nafas dengan kepala ditegakkan,P015,0.9
G.15,pembengkakan pada muka,P016,0.8
G.16,badan menunduk,P017,0.9
G.17,sayap terkulai,P018,0.95
G.18,pantat memutih dan lengket,P019,0.98
G.19,pembengkakan dan kelumpuhan sayap,P020,0.9
G.20,sayap turun,P021,0.75
G.21,lumpuh dan sesak nafas,P022,0.9
G.22,sayap kusam dan terkulai,P023,0.8
G.23,bulu dubur menyatu,P024,0.9
G.24,bulu kusam dan diare,P025,0.8
G.25,tubuh gemetar,P026,0.9
G.26,radang kloaka,P027,0.9
G.27,kaki bengkak dan lumpuh,P028,0.9
G.28,bintik merah pada kaki,P029,0.9
G.29,benjolan nanah pada pial,P030,0.98
G.30,tubuh kurus,P031,0.75
G.31,nafsu makan menurun,P032,0.98
G.32,kotoran bercampur kapur,P033,0.96
G.33,sesak napas,P034,0.98
G.34,kotoran kuning/coklat/hijau,P035,0.8
G.35,diare berlebihan,P036,0.9
G.36,cangkang telur lembek,P037,0.8
G.37,produksi telur menurun,P038,0.98
G.38,kotoran kehijauan,P039,0.9
G.39,kejang dan gangguan saraf,P040,0.9
G.40,lesu dan mengantuk,P041,0.8
G.41,paruh menempel lantai,P042,0.9
G.42,batuk dan bersin,P043,0.8
G.43,infeksi organ dalam,P044,0.96
G.44,kotoran coklat kehitaman,P045,0.8
G.45,pertumbuhan lambat,P046,0.9
G.46,pembengkakan usus,P047,0.8
G.47,kotoran putih berlendir,P048,0.9
G.48,gangguan pernafasan dan bersin,P049,0.8
G.49,radang kantong udara,P050,0.98
G.50,ngorok malam hari,P051,0.98
