kode_penyakit,nama_penyakit,kode_gejala,cf_pakar
PA.01,Berak Kapur (Pullorum),G.1,0.7
PA.01,Berak Kapur (Pullorum),G.2,0.4
PA.01,Berak Kapur (Pullorum),G.16,0.38
PA.01,Berak Kapur (Pullorum),G.17,0.15
PA.01,Berak Kapur (Pullorum),G.18,0.77
PA.01,Berak Kapur (Pullorum),G.23,0.8
PA.01,Berak Kapur (Pullorum),G.31,0.6
PA.01,Berak Kapur (Pullorum),G.32,0.9
PA.02,Kolera,G.3,0.85
PA.02,Kolera,G.4,0.65
PA.02,Kolera,G.9,0.4
PA.02,Kolera,G.19,0.7
PA.02,Kolera,G.27,0.8
PA.02,Kolera,G.31,0.3
PA.02,Kolera,G.33,0.75
PA.03,CRD,G.47,0.8
PA.03,CRD,G.32,0.4
PA.03,CRD,G.50,0.9
PA.04,Colibacillosis,G.32,0.4
PA.04,Colibacillosis,G.45,0.65
PA.04,Colibacillosis,G.49,0.9
PA.05,Flu Burung,G.3,0.7
PA.05,Flu Burung,G.5,0.75
PA.05,Flu Burung,G.6,0.65
PA.05,Flu Burung,G.28,0.8
PA.05,Flu Burung,G.35,0.85
PA.05,Flu Burung,G.36,0.3
PA.06,Newcastle Disease,G.7,0.75
PA.06,Newcastle Disease,G.8,0.7
PA.06,Newcastle Disease,G.20,0.8
PA.06,Newcastle Disease,G.31,0.9
PA.06,Newcastle Disease,G.37,0.85
PA.06,Newcastle Disease,G.38,0.9
PA.06,Newcastle Disease,G.39,0.8
PA.06,Newcastle Disease,G.40,0.75
PA.06,Newcastle Disease,G.42,0.7
PA.07,Gumboro,G.24,0.8
PA.07,Gumboro,G.25,0.9
PA.07,Gumboro,G.26,0.6
PA.07,Gumboro,G.31,0.8
PA.07,Gumboro,G.41,0.7
PA.08,IB,G.37,0.9
PA.08,IB,G.42,0.6
PA.09,Marek,G.10,0.6
PA.09,Marek,G.21,0.8
PA.09,Marek,G.43,0.9
PA.10,Koksidiosis,G.30,0.9
PA.10,Koksidiosis,G.44,0.9
PA.10,Koksidiosis,G.46,0.3
PA.11,Cacingan,G.22,0.7
PA.11,Cacingan,G.30,0.9
PA.11,Cacingan,G.31,0.8
PA.12,Fowl Pox,G.11,0.8
PA.12,Fowl Pox,G.12,0.9
PA.12,Fowl Pox,G.13,0.9
PA.12,Fowl Pox,G.29,0.6
PA.13,Coryza,G.15,0.85
PA.13,Coryza,G.45,0.75
PA.13,Coryza,G.48,0.9
PA.14,ILT,G.13,0.9
PA.14,ILT,G.14,0.85
